Date,Client,Order Quantity,Material
1/27/2020,c9,11712,12293768
1/15/2020,c9,6895,12246740
1/29/2020,c4,504,12321896
12/18/2019,c3,189,12042081
12/18/2019,c3,110,11000851
12/18/2019,c3,396,11000858
12/18/2019,c3,315,11001186
1/27/2020,c9,4160,12293768
12/30/2019,c2,104,12246740
2/21/2020,c8,1386,11000858
2/20/2020,c10,297,11000858
2/20/2020,c10,210,11001186
1/3/2020,c8,420,12322779
1/3/2020,c8,240,12293768
1/27/2020,c9,3392,12293768
12/27/2019,c3,48,12222902
1/22/2020,c3,104,12246740
1/6/2020,c2,96,12222902
1/14/2020,c6,252,12395525
1/14/2020,c6,105,12322779
1/14/2020,c6,108,12293783
1/14/2020,c6,392,12404641
1/29/2020,c5,42,12246740
1/17/2020,c2,104,12246740
2/18/2020,c10,495,11000858
2/18/2020,c10,220,11000851
2/18/2020,c10,252,11001186
2/18/2020,c10,252,12042081
1/29/2020,c5,42,12042081
2/5/2020,c7,60,12293768
2/18/2020,c5,39,12246740
2/10/2020,c7,504,11001186
2/10/2020,c7,550,11000851
2/10/2020,c7,297,11000858
1/14/2020,c5,63,12042081
1/14/2020,c5,216,12293783
2/10/2020,c7,378,12042081
2/10/2020,c7,630,11001186
1/3/2020,c3,208,12246740
1/29/2020,c5,88,12246740
12/30/2019,c2,96,12222902
2/7/2020,c5,108,12293783
2/5/2020,c10,48,12222902
2/19/2020,c9,4595,12246740
12/20/2019,c3,104,12246740
1/10/2020,c5,126,12042081
1/10/2020,c5,147,11001186
2/11/2020,c7,110,11000851
2/11/2020,c7,99,11000858
12/5/2019,c7,120,12222902
12/5/2019,c7,72,12222902
12/5/2019,c7,126,12042081
12/5/2019,c7,126,11001186
12/5/2019,c7,110,11000851
12/5/2019,c7,99,11000858
12/5/2019,c7,378,12042081
12/5/2019,c7,378,11001186
12/5/2019,c7,550,11000851
12/5/2019,c7,198,11000858
12/5/2019,c7,120,12222902
1/23/2020,c9,180,12246740
12/6/2019,c7,98,12404641
12/6/2019,c7,65,12246740
12/6/2019,c7,528,12271469
12/6/2019,c7,315,12322779
2/5/2020,c10,99,11000858
2/5/2020,c10,66,11000851
2/5/2020,c10,84,11001186
12/6/2019,c7,1320,12271469
12/6/2019,c7,1680,12322779
12/9/2019,c6,198,12320618
12/9/2019,c6,198,12320670
12/9/2019,c6,198,12320619
2/3/2020,c7,240,12293768
12/9/2019,c6,66,12320618
12/9/2019,c6,66,12320670
12/9/2019,c6,132,12320619
12/9/2019,c7,135,12322779
12/10/2019,c4,112,12396696
12/10/2019,c6,252,12042081
12/10/2019,c6,252,11001186
12/10/2019,c6,220,11000851
12/10/2019,c4,112,12396696
12/10/2019,c6,297,11000858
12/12/2019,c3,99,11000851
12/12/2019,c3,84,11001186
12/12/2019,c3,84,12042081
1/15/2020,c3,84,12042081
1/27/2020,c3,104,12246740
12/13/2019,c5,42,12042081
12/13/2019,c5,66,11000851
12/13/2019,c5,66,11000858
12/13/2019,c5,88,11000851
2/3/2020,c3,104,12246740
12/13/2019,c8,288,12222902
12/13/2019,c5,126,12042081
12/13/2019,c5,253,11000858
12/13/2019,c5,396,11000851
12/16/2019,c3,96,12222902
12/16/2019,c6,528,12320618
12/16/2019,c6,264,12320670
12/16/2019,c6,396,12320619
12/16/2019,c6,198,12320618
12/16/2019,c6,198,12320670
12/16/2019,c6,198,12320619
12/16/2019,c4,1764,12321895
12/16/2019,c6,132,12320618
12/16/2019,c6,132,12320670
12/16/2019,c6,132,12320619
2/5/2020,c3,84,11001186
2/5/2020,c3,84,12042081
2/5/2020,c3,104,12246740
12/16/2019,c6,96,12222902
12/16/2019,c6,126,12042081
12/16/2019,c6,126,11001186
2/7/2020,c8,42,12395525
2/7/2020,c8,108,12293783
2/7/2020,c8,98,12404641
12/17/2019,c5,84,12222902
1/7/2020,c8,42,12395525
1/7/2020,c8,2940,12322779
12/17/2019,c6,48,12222902
12/17/2019,c6,126,11001186
12/17/2019,c6,99,11000858
12/17/2019,c6,110,11000851
12/17/2019,c10,144,12222902
12/17/2019,c7,392,12404641
12/17/2019,c10,99,11000858
12/18/2019,c3,20,12293768
12/18/2019,c3,84,12395525
12/18/2019,c3,126,12395525
12/24/2019,c2,48,12222902
12/19/2019,c5,490,12404641
12/19/2019,c5,1274,12404641
12/19/2019,c3,44,11000858
12/19/2019,c3,63,11001186
12/19/2019,c3,48,12222902
12/19/2019,c5,210,12322779
12/19/2019,c5,726,12271469
12/19/2019,c3,48,12222902
12/19/2019,c4,560,12396696
12/19/2019,c4,1008,12321895
12/19/2019,c4,980,12396696
2/12/2020,c7,110,11000851
2/12/2020,c7,99,11000858
12/19/2019,c5,1199,12271469
12/19/2019,c5,294,12404641
12/19/2019,c5,99,11000858
12/19/2019,c5,198,12271469
12/19/2019,c5,210,12322779
12/19/2019,c4,2268,12321895
1/6/2020,c6,56,12395525
12/19/2019,c10,528,12271469
12/19/2019,c10,240,12293768
12/19/2019,c10,42,12395525
12/19/2019,c10,264,12271469
12/21/2019,c4,252,12321895
12/21/2019,c4,756,12321896
12/21/2019,c4,252,12321895
12/21/2019,c4,504,12321896
12/21/2019,c4,504,12321895
12/21/2019,c4,504,12321896
12/22/2019,c3,375,12322779
12/22/2019,c3,252,12395525
12/22/2019,c3,198,12271469
12/22/2019,c3,108,12293783
12/22/2019,c3,80,12293768
2/12/2020,c8,252,12042081
2/12/2020,c8,99,11000858
2/12/2020,c8,110,11000851
12/21/2019,c3,63,11001186
12/21/2019,c3,63,12042081
12/21/2019,c4,2520,12321895
12/21/2019,c4,2520,12321896
12/21/2019,c4,1260,12321896
12/21/2019,c4,504,12321895
12/21/2019,c4,756,12321896
12/21/2019,c4,252,12321895
12/21/2019,c4,252,12321896
12/21/2019,c4,2520,12321895
12/21/2019,c4,2520,12321896
12/21/2019,c3,132,12320619
12/21/2019,c3,88,12320618
12/21/2019,c3,110,12320670
12/21/2019,c4,252,12321895
12/21/2019,c4,504,12321896
12/21/2019,c3,396,12320619
12/21/2019,c3,396,12320618
12/21/2019,c3,352,12320670
12/21/2019,c4,252,12321895
12/21/2019,c4,756,12321896
12/21/2019,c4,252,12321895
12/21/2019,c4,252,12321896
12/21/2019,c4,252,12321895
12/21/2019,c4,252,12321896
12/23/2019,c1,104,12246740
12/21/2019,c4,6300,12321896
12/27/2019,c2,96,12222902
12/21/2019,c4,504,12321895
12/21/2019,c4,504,12321896
12/21/2019,c4,504,12321895
12/21/2019,c4,756,12321896
12/23/2019,c1,85,12404641
12/21/2019,c4,1512,12321895
12/21/2019,c4,252,12321895
12/21/2019,c4,504,12321896
12/21/2019,c4,2520,12321895
12/21/2019,c4,1512,12321896
12/21/2019,c4,6300,12321896
12/24/2019,c5,66,12271469
12/23/2019,c2,126,11001186
12/23/2019,c2,99,11000858
12/23/2019,c2,220,11000851
12/23/2019,c2,126,12042081
12/22/2019,c3,140,12293768
12/22/2019,c3,108,12293783
12/22/2019,c3,66,12271469
12/22/2019,c3,420,12395525
12/22/2019,c3,120,12322779
12/23/2019,c1,210,12395525
12/23/2019,c1,66,12271469
12/23/2019,c1,108,12293783
12/23/2019,c8,660,12320670
12/23/2019,c8,660,12320619
12/23/2019,c8,528,12320618
12/23/2019,c4,1764,12321896
12/23/2019,c3,225,12322779
12/23/2019,c3,90,12293768
12/23/2019,c3,462,12395525
12/23/2019,c3,330,12271469
12/23/2019,c4,1008,12321896
12/24/2019,c4,168,12396696
12/27/2019,c1,378,12395525
12/27/2019,c1,216,12293783
12/27/2019,c1,60,12293768
12/23/2019,c2,220,11000851
12/23/2019,c2,396,11000858
12/23/2019,c2,126,12042081
12/23/2019,c2,126,11001186
12/23/2019,c4,56,12396696
12/23/2019,c4,56,12396696
12/23/2019,c4,56,12396696
12/23/2019,c10,198,11000858
12/23/2019,c10,48,12222902
12/24/2019,c3,84,12395525
12/24/2019,c3,40,12293768
12/24/2019,c4,392,12396696
12/24/2019,c5,140,12404641
12/24/2019,c5,330,12271469
12/23/2019,c7,216,12293783
12/24/2019,c5,294,12404641
12/24/2019,c4,28,12396696
12/26/2019,c4,1512,12321895
12/24/2019,c5,294,12404641
12/24/2019,c5,126,12042081
12/24/2019,c8,660,12320670
12/24/2019,c8,660,12320619
12/24/2019,c8,264,12320618
12/24/2019,c5,98,12404641
12/24/2019,c5,66,12271469
12/24/2019,c4,28,12396696
12/24/2019,c5,99,11000858
12/24/2019,c3,126,12395525
12/24/2019,c8,660,12320670
12/24/2019,c8,660,12320619
12/24/2019,c8,396,12320618
12/24/2019,c6,56,12395525
12/24/2019,c6,60,12293768
12/24/2019,c5,42,12042081
12/24/2019,c5,33,11000851
12/24/2019,c3,22,11000858
12/24/2019,c3,63,12042081
12/24/2019,c3,11,11000851
12/25/2019,c1,144,12222902
12/24/2019,c7,66,12320670
12/24/2019,c7,44,12320619
12/24/2019,c7,44,12320618
12/24/2019,c5,630,12322779
12/25/2019,c1,126,12395525
12/25/2019,c1,108,12293783
12/25/2019,c1,60,12293768
12/25/2019,c1,126,11001186
12/25/2019,c1,126,12042081
12/25/2019,c1,104,12246740
12/27/2019,c4,594,12365978
12/27/2019,c8,132,12320670
12/27/2019,c8,132,12320619
12/27/2019,c8,132,12320618
1/31/2020,c2,104,12246740
12/27/2019,c4,792,12365978
12/27/2019,c4,396,12365978
1/17/2020,c8,42,12395525
1/17/2020,c8,210,12322779
1/17/2020,c8,108,12293783
1/17/2020,c8,98,12404641
1/17/2020,c8,80,12293768
12/27/2019,c2,210,12322779
12/27/2019,c2,198,12271469
12/27/2019,c2,84,12395525
12/27/2019,c2,80,12293768
12/27/2019,c2,330,11000851
12/27/2019,c2,198,11000858
12/27/2019,c2,126,11001186
12/27/2019,c2,400,12293768
12/27/2019,c4,252,12321895
12/27/2019,c8,42,12395525
12/27/2019,c8,196,12404641
12/27/2019,c8,160,12293768
12/27/2019,c2,216,12293783
12/27/2019,c2,84,12395525
12/27/2019,c2,396,12271469
12/27/2019,c2,1155,12322779
12/27/2019,c4,28,12396696
12/27/2019,c2,160,12293768
12/27/2019,c7,440,12320670
12/27/2019,c7,330,12320619
12/27/2019,c7,330,12320618
12/27/2019,c4,198,12365978
12/27/2019,c4,252,12321896
12/27/2019,c1,181,12404641
12/27/2019,c8,126,12042081
12/27/2019,c8,126,11001186
12/27/2019,c2,84,12395525
12/27/2019,c2,60,12322779
12/27/2019,c2,90,12293783
12/27/2019,c2,132,12271469
12/27/2019,c4,252,12321895
12/27/2019,c4,594,12365978
12/27/2019,c3,198,11000858
12/27/2019,c3,336,11001186
12/27/2019,c3,252,12042081
12/27/2019,c7,22,12320619
12/27/2019,c7,22,12320618
12/27/2019,c4,756,12321896
12/27/2019,c4,504,12321895
12/27/2019,c4,252,12321896
12/27/2019,c4,504,12321895
12/28/2019,c3,63,12042081
12/28/2019,c3,126,11001186
12/28/2019,c3,33,11000851
12/29/2019,c3,330,12320619
12/29/2019,c3,220,12320618
12/29/2019,c3,330,12320670
12/27/2019,c6,54,12293783
12/30/2019,c4,252,12396696
12/29/2019,c3,42,12395525
12/30/2019,c4,224,12396696
12/30/2019,c4,2772,12321895
12/30/2019,c3,96,12222902
12/30/2019,c3,66,12320618
12/30/2019,c3,110,12320619
12/30/2019,c3,88,12320670
12/30/2019,c3,20,12293768
12/30/2019,c3,12,12322779
12/30/2019,c3,294,12404641
12/30/2019,c3,84,12395525
12/30/2019,c3,54,12293783
12/30/2019,c1,16,12404641
12/30/2019,c1,104,12246740
12/30/2019,c3,374,12320618
12/30/2019,c3,330,12320619
12/30/2019,c3,242,12320670
12/30/2019,c4,1036,12396696
12/30/2019,c4,594,12365978
12/30/2019,c1,126,11001186
12/30/2019,c1,96,12222902
12/30/2019,c1,126,12395525
12/30/2019,c1,66,12271469
12/30/2019,c1,108,12293783
12/30/2019,c1,10,12293768
12/30/2019,c1,126,11001186
12/30/2019,c1,126,12042081
12/31/2019,c5,110,11000851
12/30/2019,c2,44,12320618
12/30/2019,c2,88,12320619
12/30/2019,c2,88,12320670
12/29/2019,c3,132,12271469
12/29/2019,c3,216,12293783
12/29/2019,c3,160,12293768
12/29/2019,c3,225,12322779
12/29/2019,c3,336,12395525
12/31/2019,c2,48,12222902
12/31/2019,c4,756,12321895
12/30/2019,c1,35,12404641
12/30/2019,c1,64,12404641
12/31/2019,c2,84,12395525
12/31/2019,c2,108,12293783
12/31/2019,c2,594,12271469
12/31/2019,c6,108,12293783
12/31/2019,c6,392,12404641
12/31/2019,c6,80,12293768
12/31/2019,c4,2016,12321895
12/30/2019,c1,132,12320670
12/30/2019,c1,264,12320618
12/30/2019,c4,28,12396696
12/31/2019,c3,144,12222902
12/31/2019,c3,144,12222902
12/30/2019,c1,132,12320619
12/30/2019,c1,132,12320670
12/30/2019,c1,132,12320618
12/30/2019,c3,176,12320670
12/30/2019,c3,220,12320619
12/30/2019,c3,308,12320618
12/30/2019,c5,48,12222902
12/31/2019,c3,176,12320618
12/31/2019,c3,176,12320619
12/31/2019,c3,110,12320670
12/31/2019,c7,378,11001186
12/31/2019,c7,330,11000851
12/31/2019,c7,99,11000858
12/31/2019,c1,99,11000858
12/31/2019,c1,220,11000851
12/31/2019,c1,378,11001186
12/31/2019,c1,378,12042081
12/30/2019,c4,1260,12396696
12/31/2019,c5,30,12322779
12/31/2019,c1,168,12395525
12/31/2019,c1,132,12271469
12/31/2019,c1,216,12293783
12/31/2019,c1,80,12293768
12/31/2019,c2,84,12395525
12/31/2019,c2,120,12322779
12/31/2019,c2,66,12271469
12/31/2019,c10,144,12222902
12/30/2019,c10,488,12322779
12/30/2019,c10,264,12271469
12/31/2019,c4,396,12365978
12/30/2019,c2,126,12042081
12/30/2019,c2,126,11001186
12/30/2019,c2,198,11000858
12/30/2019,c2,440,11000851
12/31/2019,c7,44,12320670
12/31/2019,c7,44,12320619
12/31/2019,c7,44,12320618
2/20/2020,c10,96,12222902
1/3/2020,c4,2016,12321895
12/31/2019,c10,99,11000858
12/31/2019,c10,252,11001186
12/31/2019,c10,252,12042081
12/30/2019,c2,126,11001186
12/30/2019,c2,330,11000851
12/30/2019,c2,252,12042081
12/30/2019,c2,198,11000858
12/31/2019,c1,147,12404641
12/31/2019,c2,320,12293768
12/31/2019,c10,210,12042081
12/31/2019,c10,144,12222902
12/31/2019,c3,63,12042081
12/31/2019,c3,33,11000858
12/31/2019,c3,63,11001186
12/31/2019,c7,315,12322779
12/31/2019,c8,264,12320670
12/31/2019,c8,264,12320619
12/31/2019,c8,132,12320618
1/2/2020,c2,48,12222902
12/30/2019,c10,270,12322779
12/31/2019,c4,196,12396696
12/31/2019,c3,96,12222902
12/31/2019,c2,98,12404641
12/31/2019,c2,98,12404641
1/2/2020,c1,110,11000851
1/1/2020,c1,144,12222902
12/31/2019,c7,126,11001186
12/31/2019,c7,110,11000851
12/31/2019,c7,99,11000858
1/1/2020,c1,132,12320619
1/1/2020,c1,132,12320670
1/1/2020,c1,132,12320618
12/31/2019,c7,385,12271469
12/31/2019,c7,66,12271469
12/31/2019,c7,60,12322779
12/31/2019,c4,1008,12321895
1/2/2020,c2,220,12320619
1/2/2020,c2,220,12320670
1/2/2020,c2,132,12320618
1/1/2020,c1,126,11001186
1/1/2020,c1,126,12042081
12/31/2019,c4,2268,12321895
12/31/2019,c4,28,12396696
12/31/2019,c8,252,12042081
12/31/2019,c8,99,11000858
12/31/2019,c8,110,11000851
12/31/2019,c4,1764,12321895
12/31/2019,c3,330,12271469
12/31/2019,c3,252,12395525
12/31/2019,c3,180,12322779
12/31/2019,c3,70,12293768
12/31/2019,c3,108,12293783
1/3/2020,c3,96,12222902
1/2/2020,c3,144,12222902
12/31/2019,c1,104,12246740
12/31/2019,c4,1008,12321895
12/31/2019,c6,210,12395525
12/31/2019,c3,24,12322779
12/31/2019,c3,84,12395525
12/31/2019,c3,20,12293768
12/31/2019,c1,252,12395525
12/31/2019,c1,198,12271469
12/31/2019,c1,105,12322779
12/31/2019,c1,216,12293783
12/31/2019,c1,100,12293768
2/6/2020,c7,196,12404641
1/2/2020,c3,84,12395525
1/2/2020,c3,44,12271469
1/2/2020,c3,490,12404641
12/31/2019,c5,105,12042081
12/31/2019,c5,147,11001186
12/31/2019,c5,319,11000858
12/31/2019,c5,440,11000851
1/2/2020,c2,104,12246740
12/31/2019,c3,252,11001186
12/31/2019,c3,189,12042081
12/31/2019,c3,198,11000858
1/1/2020,c1,104,12246740
1/2/2020,c5,63,12042081
1/2/2020,c5,99,11000858
1/1/2020,c1,294,12395525
1/1/2020,c1,66,12271469
1/1/2020,c1,108,12293783
1/2/2020,c4,594,12365978
1/2/2020,c2,110,12320670
1/2/2020,c2,44,12320619
1/3/2020,c1,168,12395525
1/3/2020,c1,66,12271469
1/3/2020,c1,108,12293783
1/3/2020,c1,40,12293768
1/2/2020,c1,192,12222902
12/31/2019,c10,96,12222902
1/1/2020,c1,132,12320619
1/1/2020,c1,132,12320670
1/1/2020,c1,264,12320618
1/2/2020,c4,396,12365978
1/2/2020,c1,99,11000858
1/2/2020,c1,126,11001186
1/2/2020,c1,126,12042081
1/3/2020,c3,196,12404641
1/3/2020,c3,44,12271469
1/3/2020,c3,126,12395525
1/3/2020,c3,12,12322779
1/3/2020,c1,269,12404641
1/2/2020,c5,84,12042081
1/2/2020,c5,187,11000858
1/2/2020,c5,198,11000851
1/2/2020,c5,315,12322779
1/2/2020,c5,198,11000858
1/2/2020,c2,1050,12322779
1/2/2020,c2,210,12395525
1/2/2020,c2,432,12293783
1/2/2020,c2,264,12271469
1/3/2020,c1,104,12246740
1/2/2020,c5,42,12042081
1/2/2020,c5,198,11000858
1/2/2020,c5,220,11000851
1/2/2020,c5,42,12042081
1/2/2020,c5,48,12222902
1/2/2020,c5,88,11000851
1/2/2020,c5,99,11000858
1/2/2020,c5,126,12042081
1/2/2020,c5,330,11000858
1/2/2020,c5,440,11000851
1/2/2020,c5,216,12293783
1/2/2020,c5,525,12322779
1/3/2020,c1,60,12404641
1/3/2020,c3,75,12322779
1/3/2020,c3,216,12293783
1/3/2020,c3,132,12271469
1/3/2020,c3,294,12395525
1/3/2020,c3,80,12293768
1/3/2020,c1,420,12395525
1/3/2020,c1,132,12271469
1/3/2020,c1,108,12293783
1/3/2020,c1,40,12293768
1/3/2020,c1,104,12246740
1/3/2020,c3,11,11000858
1/3/2020,c4,112,12396696
1/3/2020,c1,97,12404641
1/6/2020,c1,104,12246740
1/3/2020,c2,80,12293768
1/3/2020,c2,98,12404641
1/3/2020,c1,104,12246740
1/3/2020,c1,210,12395525
1/3/2020,c1,198,12271469
1/3/2020,c1,108,12293783
1/3/2020,c2,210,12395525
1/3/2020,c2,216,12293783
1/3/2020,c2,98,12404641
1/3/2020,c2,80,12293768
1/3/2020,c2,208,12246740
1/3/2020,c4,224,12396696
1/3/2020,c2,42,12395525
1/3/2020,c2,132,12271469
1/3/2020,c2,60,12322779
1/3/2020,c2,90,12293783
1/3/2020,c4,198,12365978
1/3/2020,c10,396,12271469
1/3/2020,c10,54,12293783
1/3/2020,c10,160,12293768
1/6/2020,c3,63,12042081
1/6/2020,c3,110,11000851
1/6/2020,c3,63,11001186
1/3/2020,c3,110,11000851
1/3/2020,c3,63,11001186
1/3/2020,c4,990,12365978
1/6/2020,c1,12,12404641
1/3/2020,c10,180,12322779
1/3/2020,c10,264,12271469
1/3/2020,c10,80,12293768
1/6/2020,c1,144,12222902
1/6/2020,c1,126,11001186
1/7/2020,c6,392,12404641
1/6/2020,c3,144,12222902
1/6/2020,c4,420,12396696
1/7/2020,c3,60,12322779
1/6/2020,c5,126,12042081
1/6/2020,c5,99,11000858
1/6/2020,c5,110,11000851
1/6/2020,c4,644,12396696
1/6/2020,c1,132,12320619
1/6/2020,c1,132,12320670
1/6/2020,c1,132,12320618
1/6/2020,c5,48,12222902
1/6/2020,c4,28,12396696
1/6/2020,c1,132,12320670
1/6/2020,c1,132,12320618
1/6/2020,c1,97,12404641
1/6/2020,c2,252,12042081
1/6/2020,c2,252,11001186
1/6/2020,c2,220,11000851
1/6/2020,c2,99,11000858
1/6/2020,c1,252,12395525
1/6/2020,c1,66,12271469
1/6/2020,c1,108,12293783
1/6/2020,c2,144,12222902
1/6/2020,c4,1232,12396696
1/6/2020,c4,1036,12396696
1/6/2020,c1,48,12222902
1/6/2020,c6,48,12222902
1/6/2020,c4,84,12396696
1/6/2020,c3,99,11000851
1/7/2020,c4,396,12365978
1/6/2020,c4,280,12396696
1/28/2020,c2,104,12246740
1/7/2020,c7,110,11000851
1/7/2020,c7,48,12222902
1/7/2020,c5,216,12293783
1/7/2020,c5,630,12322779
1/6/2020,c4,784,12396696
1/7/2020,c5,315,12322779
1/7/2020,c1,137,12404641
1/7/2020,c7,660,12320618
1/7/2020,c7,660,12320670
1/7/2020,c7,660,12320619
1/7/2020,c3,96,12222902
1/7/2020,c1,210,12395525
1/7/2020,c1,132,12271469
1/7/2020,c1,108,12293783
1/7/2020,c1,80,12293768
1/7/2020,c1,252,12395525
1/7/2020,c1,264,12271469
1/7/2020,c1,105,12322779
1/7/2020,c1,216,12293783
1/7/2020,c1,70,12293768
1/7/2020,c5,120,12322779
1/7/2020,c5,396,12271469
1/7/2020,c1,208,12246740
1/7/2020,c5,42,12042081
1/7/2020,c5,48,12222902
1/7/2020,c5,294,12404641
1/7/2020,c5,112,12404641
1/7/2020,c2,154,12320670
1/7/2020,c2,220,12320619
1/7/2020,c2,132,12320618
1/7/2020,c7,420,12322779
1/7/2020,c4,990,12365978
1/7/2020,c3,20,12293768
1/7/2020,c3,98,12404641
1/7/2020,c6,48,12222902
1/7/2020,c5,126,12042081
1/7/2020,c5,96,12222902
1/7/2020,c4,252,12321896
1/7/2020,c4,252,12321895
1/7/2020,c4,594,12365978
